"Numéro","conpre1p","conpre1s","conpre2p","conpre2s","conpre3p","conpre3s","imppre1p","imppre2p","imppre2s","indfut1p","indfut1s","indfut2p","indfut2s","indfut3p","indfut3s","indimp1p","indimp1s","indimp2p","indimp2s","indimp3p","indimp3s","indpre1p","indpre1s","indpre2p","indpre2s","indpre3p","indpre3s","infinitif","parpasF","parpasM","parpre","passim1p","passim1s","passim2p","passim2s","passim3p","passim3s","subimp1p","subimp1s","subimp2p","subimp2s","subimp3p","subimp3s","subpre1p","subpre1s","subpre2p","subpre2s","subpre3p","subpre3s"
"35","absenterions","absenterais","absenteriez","absenterais","absenteraient","absenterait","absentons-nous","absentez-vous","absente-toi","absenterons","absenterai","absenterez","absenteras","absenteront","absentera","absentions","absentais","absentiez","absentais","absentaient","absentait","absentons","absente","absentez","t’absentes","absentent","absente","s'absenter","absentée","absenté","s'absentant","absentâmes","absentai","absentâtes","absentas","absentèrent","absenta","absentassions","absentasse","absentassiez","absentasses","absentassent","absentât","absentions","absente","absentiez","absentes","absentent","absente"
"36","absorberions","absorberais","absorberiez","absorberais","absorberaient","absorberait","absorbons","absorbez","absorbe","absorberons","absorberai","absorberez","absorberas","absorberont","absorbera","absorbions","absorbais","absorbiez","absorbais","absorbaient","absorbait","absorbons","absorbe","absorbez","absorbes","absorbent","absorbe","absorber","absorbée","absorbé","absorbant","absorbâmes","absorbai","absorbâtes","absorbas","absorbèrent","absorba","absorbassions","absorbasse","absorbassiez","absorbasses","absorbassent","absorbât","absorbions","absorbe","absorbiez","absorbes","absorbent","absorbe"
"37","absoudrions","absoudrais","absoudriez","absoudrais","absoudraient","absoudrait","absolvons","absolvez","absous","absoudrons","absoudrai","absoudrez","absoudras","absoudront","absoudra","absolvions","absolvais","absolviez","absolvais","absolvaient","absolvait","absolvons","absous","absolvez","absous","absolvent","absout","absoudre","absoute","absous","absolvant","","","","","","","","","","","","","absolvions","absolve","absolviez","absolves","absolvent","absolve"
"38","abstiendrions","abstiendrais","abstiendriez","abstiendrais","abstiendraient","abstiendrait","abstenons-nous","abstenez-vous","abstiens-toi","abstiendrons","abstiendrai","abstiendrez","abstiendras","abstiendront","abstiendra","abstenions","abstenais","absteniez","abstenais","abstenaient","abstenait","abstenons","abstiens","abstenez","abstiens","abstiennent","abstient","s'abstenir","abstenue","abstenu","s'abstenant","abstînmes","abstins","abstîntes","abstins","abstinrent","abstint","abstinssions","abstinsse","abstinssiez","abstinsses","abstinssent","abstînt","abstenions","abstienne","absteniez","abstiennes","abstiennent","abstienne"
"39","abstrairions","abstrairais","abstrairiez","abstrairais","abstrairaient","abstrairait","abstrayons","abstrayez","abstrais","abstrairons","abstrairai","abstrairez","abstrairas","abstrairont","abstraira","abstrayions","abstrayais","abstrayiez","abstrayais","abstrayaient","abstrayait","abstrayons","abstrais","abstrayez","abstrais","abstraaient","abstrait","abstraire","abstraite","abstrait","abstrayant","","","","","","","","","","","","","abstrayions","abstraie","abstrayiez","abstraies","abstraient","abstraie"
"40","abuserions","abuserais","abuseriez","abuserais","abuseraient","abuserait","abusons","abusez","abuse","abuserons","abuserai","abuserez","abuseras","abuseront","abusera","abusions","abusais","abusiez","abusais","abusaient","abusait","abusons","abuse","abusez","abuses","abusent","abuse","abuser","abusée","abusé","abusant","abusâmes","abusai","abusâtes","abusas","abusèrent","abusa","abusassions","abusasse","abusassiez","abusasses","abusassent","abusât","abusions","abuse","abusiez","abuses","abusent","abuse"
"41","acagnarderions","acagnarderais","acagnarderiez","acagnarderais","acagnarderaient","acagnarderait","acagnardons","acagnardez","acagnarde","acagnarderons","acagnarderai","acagnarderez","acagnarderas","acagnarderont","acagnardera","acagnardions","acagnardais","acagnardiez","acagnardais","acagnardaient","acagnardait","acagnardons","acagnarde","acagnardez","acagnardes","acagnardent","acagnarde","acagnarder","acagnardée","acagnardé","acagnardant","acagnardâmes","acagnardai","acagnardâtes","acagnardas","acagnardèrent","acagnarda","acagnardassions","acagnardasse","acagnardassiez","acagnardasses","acagnardassent","acagnardât","acagnardions","acagnarde","acagnardiez","acagnardes","acagnardent","acagnarde"
"42","accablerions","accablerais","accableriez","accablerais","accableraient","accablerait","accablons","accablez","accable","accablerons","accablerai","accablerez","accableras","accableront","accablera","accablions","accablais","accabliez","accablais","accablaient","accablait","accablons","accable","accablez","accables","accablent","accable","accabler","accablée","accablé","accablant","accablâmes","accablai","accablâtes","accablas","accablèrent","accabla","accablassions","accablasse","accablassiez","accablasses","accablassent","accablât","accablions","accable","accabliez","accables","accablent","accable"
"43","accaparerions","accaparerais","accapareriez","accaparerais","accapareraient","accaparerait","accaparons","accaparez","accapare","accaparerons","accaparerai","accaparerez","accapareras","accapareront","accaparera","accaparions","accaparais","accapariez","accaparais","accaparaient","accaparait","accaparons","accapare","accaparez","accapares","accaparent","accapare","accaparer","accaparée","accaparé","accaparant","accaparâmes","accaparai","accaparâtes","accaparas","accaparèrent","accapara","accaparassions","accaparasse","accaparassiez","accaparasses","accaparassent","accaparât","accaparions","accapare","accapariez","accapares","accaparent","accapare"
"44","accastillerions","accastillerais","accastilleriez","accastillerais","accastilleraient","accastillerait","accastillons","accastillez","accastille","accastillerons","accastillerai","accastillerez","accastilleras","accastilleront","accastillera","accastillions","accastillais","accastilliez","accastillais","accastillaient","accastillait","accastillons","accastille","accastillez","accastilles","accastillent","accastille","accastiller","accastillée","accastillé","accastillant","accastillâmes","accastillai","accastillâtes","accastillas","accastillèrent","accastilla","accastillassions","accastillasse","accastillassiez","accastillasses","accastillassent","accastillât","accastillions","accastille","accastilliez","accastilles","accastillent","accastille"
"45","accéderions","accéderais","accéderiez","accéderais","accéderaient","accéderait","accédons","accédez","accède","accéderons","accéderai","accéderez","accéderas","accéderont","accédera","accédions","accédais","accédiez","accédais","accédaient","accédait","accédons","accède","accédez","accèdes","accèdent","accède","accéder","accédée","accédé","accédant","accédâmes","accédai","accédâtes","accédas","accédèrent","accéda","accédassions","accédasse","accédassiez","accédasses","accédassent","accédât","accédions","accède","accédiez","accèdes","accèdent","accède"
"46","accélérerions","accélérerais","accéléreriez","accélérerais","accéléreraient","accélérerait","accélérons","accélérez","accélère","accélérerons","accélérerai","accélérerez","accéléreras","accéléreront","accélérera","accélérions","accélérais","accélériez","accélérais","accéléraient","accélérait","accélérons","accélère","accélérez","accélères","accélèrent","accélère","accélérer","accélérée","accéléré","accélérant","accélérâmes","accélérai","accélérâtes","accéléras","accélérèrent","accéléra","accélérassions","accélérasse","accélérassiez","accélérasses","accélérassent","accélérât","accélérions","accélère","accélériez","accélères","accélèrent","accélère"
"47","accentuerions","accentuerais","accentueriez","accentuerais","accentueraient","accentuerait","accentuons","accentuez","accentue","accentuerons","accentuerai","accentuerez","accentueras","accentueront","accentuera","accentuions","accentuais","accentuiez","accentuais","accentuaient","accentuait","accentuons","accentue","accentuez","accentues","accentuent","accentue","accentuer","accentuée","accentué","accentuant","accentuâmes","accentuai","accentuâtes","accentuas","accentuèrent","accentua","accentuassions","accentuasse","accentuassiez","accentuasses","accentuassent","accentuât","accentuions","accentue","accentuiez","accentues","accentuent","accentue"
"48","accepterions","accepterais","accepteriez","accepterais","accepteraient","accepterait","acceptons","acceptez","accepte","accepterons","accepterai","accepterez","accepteras","accepteront","acceptera","acceptions","acceptais","acceptiez","acceptais","acceptaient","acceptait","acceptons","accepte","acceptez","acceptes","acceptent","accepte","accepter","acceptée","accepté","acceptant","acceptâmes","acceptai","acceptâtes","acceptas","acceptèrent","accepta","acceptassions","acceptasse","acceptassiez","acceptasses","acceptassent","acceptât","acceptions","accepte","acceptiez","acceptes","acceptent","accepte"
"49","accessoiriserions","accessoiriserais","accessoiriseriez","accessoiriserais","accessoiriseraient","accessoiriserait","accessoirisons","accessoirisez","accessoirise","accessoiriserons","accessoiriserai","accessoiriserez","accessoiriseras","accessoiriseront","accessoirisera","accessoirisions","accessoirisais","accessoirisiez","accessoirisais","accessoirisaient","accessoirisait","accessoirisons","accessoirise","accessoirisez","accessoirises","accessoirisent","accessoirise","accessoiriser","accessoirisée","accessoirisé","accessoirisant","accessoirisâmes","accessoirisai","accessoirisâtes","accessoirisas","accessoirisèrent","accessoirisa","accessoirisassions","accessoirisasse","accessoirisassiez","accessoirisasses","accessoirisassent","accessoirisât","accessoirisions","accessoirise","accessoirisiez","accessoirises","accessoirisent","accessoirise"
"50","accessoriserions","accessoriserais","accessoriseriez","accessoriserais","accessoriseraient","accessoriserait","accessorisons","accessorisez","accessorise","accessoriserons","accessoriserai","accessoriserez","accessoriseras","accessoriseront","accessorisera","accessorisions","accessorisais","accessorisiez","accessorisais","accessorisaient","accessorisait","accessorisons","accessorise","accessorisez","accessorises","accessorisent","accessorise","accessoriser","accessorisée","accessorisé","accessorisant","accessorisâmes","accessorisai","accessorisâtes","accessorisas","accessorisèrent","accessorisa","accessorisassions","accessorisasse","accessorisassiez","accessorisasses","accessorisassent","accessorisât","accessorisions","accessorise","accessorisiez","accessorises","accessorisent","accessorise"
"51","accidenterions","accidenterais","accidenteriez","accidenterais","accidenteraient","accidenterait","accidentons","accidentez","accidente","accidenterons","accidenterai","accidenterez","accidenteras","accidenteront","accidentera","accidentions","accidentais","accidentiez","accidentais","accidentaient","accidentait","accidentons","accidente","accidentez","accidentes","accidentent","accidente","accidenter","accidentée","accidenté","accidentant","accidentâmes","accidentai","accidentâtes","accidentas","accidentèrent","accidenta","accidentassions","accidentasse","accidentassiez","accidentasses","accidentassent","accidentât","accidentions","accidente","accidentiez","accidentes","accidentent","accidente"
"52","acclamerions","acclamerais","acclameriez","acclamerais","acclameraient","acclamerait","acclamons","acclamez","acclame","acclamerons","acclamerai","acclamerez","acclameras","acclameront","acclamera","acclamions","acclamais","acclamiez","acclamais","acclamaient","acclamait","acclamons","acclame","acclamez","acclames","acclament","acclame","acclamer","acclamée","acclamé","acclamant","acclamâmes","acclamai","acclamâtes","acclamas","acclamèrent","acclama","acclamassions","acclamasse","acclamassiez","acclamasses","acclamassent","acclamât","acclamions","acclame","acclamiez","acclames","acclament","acclame"
"53","acclimaterions","acclimaterais","acclimateriez","acclimaterais","acclimateraient","acclimaterait","acclimatons","acclimatez","acclimate","acclimaterons","acclimaterai","acclimaterez","acclimateras","acclimateront","acclimatera","acclimations","acclimatais","acclimatiez","acclimatais","acclimataient","acclimatait","acclimatons","acclimate","acclimatez","acclimates","acclimatent","acclimate","acclimater","acclimatée","acclimaté","acclimatant","acclimatâmes","acclimatai","acclimatâtes","acclimatas","acclimatèrent","acclimata","acclimatassions","acclimatasse","acclimatassiez","acclimatasses","acclimatassent","acclimatât","acclimations","acclimate","acclimatiez","acclimates","acclimatent","acclimate"
"54","accointerions","accointerais","accointeriez","accointerais","accointeraient","accointerait","accointons","accointez","accointe","accointerons","accointerai","accointerez","accointeras","accointeront","accointera","accointions","accointais","accointiez","accointais","accointaient","accointait","accointons","accointe","accointez","accointes","accointent","accointe","accointer","accointée","accointé","accointant","accointâmes","accointai","accointâtes","accointas","accointèrent","accointa","accointassions","accointasse","accointassiez","accointasses","accointassent","accointât","accointions","accointe","accointiez","accointes","accointent","accointe"
"55","accolerions","accolerais","accoleriez","accolerais","accoleraient","accolerait","accolons","accolez","accole","accolerons","accolerai","accolerez","accoleras","accoleront","accolera","accolions","accolais","accoliez","accolais","accolaient","accolait","accolons","accole","accolez","accoles","accolent","accole","accoler","accolée","accolé","accolant","accolâmes","accolai","accolâtes","accolas","accolèrent","accola","accolassions","accolasse","accolassiez","accolasses","accolassent","accolât","accolions","accole","accoliez","accoles","accolent","accole"
"56","accommoderions","accommoderais","accommoderiez","accommoderais","accommoderaient","accommoderait","accommodons","accommodez","accommode","accommoderons","accommoderai","accommoderez","accommoderas","accommoderont","accommodera","accommodions","accommodais","accommodiez","accommodais","accommodaient","accommodait","accommodons","accommode","accommodez","accommodes","accommodent","accommode","accommoder","accommodée","accommodé","accommodant","accommodâmes","accommodai","accommodâtes","accommodas","accommodèrent","accommoda","accommodassions","accommodasse","accommodassiez","accommodasses","accommodassent","accommodât","accommodions","accommode","accommodiez","accommodes","accommodent","accommode"
"57","accompagnerions","accompagnerais","accompagneriez","accompagnerais","accompagneraient","accompagnerait","accompagnons","accompagnez","accompagne","accompagnerons","accompagnerai","accompagnerez","accompagneras","accompagneront","accompagnera","accompagnions","accompagnais","accompagniez","accompagnais","accompagnaient","accompagnait","accompagnons","accompagne","accompagnez","accompagnes","accompagnent","accompagne","accompagner","accompagnée","accompagné","accompagnant","accompagnâmes","accompagnai","accompagnâtes","accompagnas","accompagnèrent","accompagna","accompagnassions","accompagnasse","accompagnassiez","accompagnasses","accompagnassent","accompagnât","accompagnions","accompagne","accompagniez","accompagnes","accompagnent","accompagne"
"58","accomplirions","accomplirais","accompliriez","accomplirais","accompliraient","accomplirait","accomplissons","accomplissez","accomplis","accomplirons","accomplirai","accomplirez","accompliras","accompliront","accomplira","accomplissions","accomplissais","accomplissiez","accomplissais","accomplissaient","accomplissait","accomplissons","accomplis","accomplissez","accomplis","accomplissent","accomplit","accomplir","accomplie","accompli","accomplissant","accomplîmes","accomplis","accomplîtes","accomplis","accomplirent","accomplit","accomplissions","accomplisse","accomplissiez","accomplisses","accomplissent","accomplît","accomplissions","accomplisse","accomplissiez","accomplisses","accomplissent","accomplisse"
"59","accorderions","accorderais","accorderiez","accorderais","accorderaient","accorderait","accordons","accordez","accorde","accorderons","accorderai","accorderez","accorderas","accorderont","accordera","accordions","accordais","accordiez","accordais","accordaient","accordait","accordons","accorde","accordez","accordes","accordent","accorde","accorder","accordée","accordé","accordant","accordâmes","accordai","accordâtes","accordas","accordèrent","accorda","accordassions","accordasse","accordassiez","accordasses","accordassent","accordât","accordions","accorde","accordiez","accordes","accordent","accorde"
"60","accorerions","accorerais","accoreriez","accorerais","accoreraient","accorerait","accorons","accorez","accore","accorerons","accorerai","accorerez","accoreras","accoreront","accorera","accorions","accorais","accoriez","accorais","accoraient","accorait","accorons","accore","accorez","accores","accorent","accore","accorer","accorée","accoré","accorant","accorâmes","accorai","accorâtes","accoras","accorèrent","accora","accorassions","accorasse","accorassiez","accorasses","accorassent","accorât","accorions","accore","accoriez","accores","accorent","accore"
"61","accosterions","accosterais","accosteriez","accosterais","accosteraient","accosterait","accostons","accostez","accoste","accosterons","accosterai","accosterez","accosteras","accosteront","accostera","accostions","accostais","accostiez","accostais","accostaient","accostait","accostons","accoste","accostez","accostes","accostent","accoste","accoster","accostée","accosté","accostant","accostâmes","accostai","accostâtes","accostas","accostèrent","accosta","accostassions","accostasse","accostassiez","accostasses","accostassent","accostât","accostions","accoste","accostiez","accostes","accostent","accoste"
"62","accoterions","accoterais","accoteriez","accoterais","accoteraient","accoterait","accotons","accotez","accote","accoterons","accoterai","accoterez","accoteras","accoteront","accotera","accotions","accotais","accotiez","accotais","accotaient","accotait","accotons","accote","accotez","accotes","accotent","accote","accoter","accotée","accoté","accotant","accotâmes","accotai","accotâtes","accotas","accotèrent","accota","accotassions","accotasse","accotassiez","accotasses","accotassent","accotât","accotions","accote","accotiez","accotes","accotent","accote"
"63","accoucherions","accoucherais","accoucheriez","accoucherais","accoucheraient","accoucherait","accouchons","accouchez","accouche","accoucherons","accoucherai","accoucherez","accoucheras","accoucheront","accouchera","accouchions","accouchais","accouchiez","accouchais","accouchaient","accouchait","accouchons","accouche","accouchez","accouches","accouchent","accouche","accoucher","accouchée","accouché","accouchant","accouchâmes","accouchai","accouchâtes","accouchas","accouchèrent","accoucha","accouchassions","accouchasse","accouchassiez","accouchasses","accouchassent","accouchât","accouchions","accouche","accouchiez","accouches","accouchent","accouche"
"64","accouderions","accouderais","accouderiez","accouderais","accouderaient","accouderait","accoudons-nous","accoudez-vous","accoude-toi","accouderons","accouderai","accouderez","accouderas","accouderont","accoudera","accoudions","accoudais","accoudiez","accoudais","accoudaient","accoudait","accoudons","accoude","accoudez","accoudes","accoudent","accoude","s'accouder","accoudée","accoudé","s'accoudant","accoudâmes","accoudai","accoudâtes","accoudas","accoudèrent","accouda","accoudassions","accoudasse","accoudassiez","accoudasses","accoudassent","accoudât","accoudions","accoude","accoudiez","accoudes","accoudent","accoude"
"65","accouerions","accouerais","accoueriez","accouerais","accoueraient","accouerait","accouons","accouez","accoue","accouerons","accouerai","accouerez","accoueras","accoueront","accouera","accouions","accouais","accouiez","accouais","accouaient","accouait","accouons","accoue","accouez","accoues","accouent","accoue","accouer","accouée","accoué","accouant","accouâmes","accouai","accouâtes","accouas","accouèrent","accoua","accouassions","accouasse","accouassiez","accouasses","accouassent","accouât","accouions","accoue","accouiez","accoues","accouent","accoue"
"66","accouplerions","accouplerais","accoupleriez","accouplerais","accoupleraient","accouplerait","accouplons","accouplez","accouple","accouplerons","accouplerai","accouplerez","accoupleras","accoupleront","accouplera","accouplions","accouplais","accoupliez","accouplais","accouplaient","accouplait","accouplons","accouple","accouplez","accouples","accouplent","accouple","accoupler","accouplée","accouplé","accouplant","accouplâmes","accouplai","accouplâtes","accouplas","accouplèrent","accoupla","accouplassions","accouplasse","accouplassiez","accouplasses","accouplassent","accouplât","accouplions","accouple","accoupliez","accouples","accouplent","accouple"
