"Numéro","conpre1p","conpre1s","conpre2p","conpre2s","conpre3p","conpre3s","imppre1p","imppre2p","imppre2s","indfut1p","indfut1s","indfut2p","indfut2s","indfut3p","indfut3s","indimp1p","indimp1s","indimp2p","indimp2s","indimp3p","indimp3s","indpre1p","indpre1s","indpre2p","indpre2s","indpre3p","indpre3s","infinitif","parpasF","parpasM","parpre","passim1p","passim1s","passim2p","passim2s","passim3p","passim3s","subimp1p","subimp1s","subimp2p","subimp2s","subimp3p","subimp3s","subpre1p","subpre1s","subpre2p","subpre2s","subpre3p","subpre3s"
"67","accourcirions","accourcirais","accourciriez","accourcirais","accourciraient","accourcirait","accourcissons","accourcissez","accourcis","accourcirons","accourcirai","accourcirez","accourciras","accourciront","accourcira","accourcissions","accourcissais","accourcissiez","accourcissais","accourcissaient","accourcissait","accourcissons","accourcis","accourcissez","accourcis","accourcissent","accourcit","accourcir","accourcie","accourci","accourcissant","accourcîmes","accourcis","accourcîtes","accourcis","accourcirent","accourcit","accourcissions","accourcisse","accourcissiez","accourcisses","accourcissent","accourcît","accourcissions","accourcisse","accourcissiez","accourcisses","accourcissent","accourcisse"
"68","accourrions","accourrais","accourriez","accourrais","accourraient","accourrait","accourons","accourez","accours","accourrons","accourrai","accourrez","accourras","accourront","accourra","accourions","accourais","accouriez","accourais","accouraient","accourait","accourons","accours","accourez","accours","accourent","accourt","accourir","accourue","accouru","accourant","accourûmes","accourus","accourûtes","accourus","accoururent","accourut","accourussions","accourusse","accourussiez","accourusses","accourussent","accourût","accourions","accoure","accouriez","accoures","accourent","accoure"
"69","accoutrerions","accoutrerais","accoutreriez","accoutrerais","accoutreraient","accoutrerait","accoutrons","accoutrez","accoutre","accoutrerons","accoutrerai","accoutrerez","accoutreras","accoutreront","accoutrera","accoutrions","accoutrais","accoutriez","accoutrais","accoutraient","accoutrait","accoutrons","accoutre","accoutrez","accoutres","accoutrent","accoutre","accoutrer","accoutrée","accoutré","accoutrant","accoutrâmes","accoutrai","accoutrâtes","accoutras","accoutrèrent","accoutra","accoutrassions","accoutrasse","accoutrassiez","accoutrasses","accoutrassent","accoutrât","accoutrions","accoutre","accoutriez","accoutres","accoutrent","accoutre"
"70","accoutumerions","accoutumerais","accoutumeriez","accoutumerais","accoutumeraient","accoutumerait","accoutumons","accoutumez","accoutume","accoutumerons","accoutumerai","accoutumerez","accoutumeras","accoutumeront","accoutumera","accoutumions","accoutumais","accoutumiez","accoutumais","accoutumaient","accoutumait","accoutumons","accoutume","accoutumez","accoutumes","accoutument","accoutume","accoutumer","accoutumée","accoutumé","accoutumant","accoutumâmes","accoutumai","accoutumâtes","accoutumas","accoutumèrent","accoutuma","accoutumassions","accoutumasse","accoutumassiez","accoutumasses","accoutumassent","accoutumât","accoutumions","accoutume","accoutumiez","accoutumes","accoutument","accoutume"
"71","accréditerions","accréditerais","accréditeriez","accréditerais","accréditeraient","accréditerait","accréditons","accréditez","accrédite","accréditerons","accréditerai","accréditerez","accréditeras","accréditeront","accréditera","accréditions","accréditais","accréditiez","accréditais","accréditaient","accréditait","accréditons","accrédite","accréditez","accrédites","accréditent","accrédite","accréditer","accréditée","accrédité","accréditant","accréditâmes","accréditai","accréditâtes","accréditas","accréditèrent","accrédita","accréditassions","accréditasse","accréditassiez","accréditasses","accréditassent","accréditât","accréditions","accrédite","accréditiez","accrédites","accréditent","accrédite"
"72","accrocherions","accrocherais","accrocheriez","accrocherais","accrocheraient","accrocherait","accrochons","accrochez","accroche","accrocherons","accrocherai","accrocherez","accrocheras","accrocheront","accrochera","accrochions","accrochais","accrochiez","accrochais","accrochaient","accrochait","accrochons","accroche","accrochez","accroches","accrochent","accroche","accrocher","accrochée","accroché","accrochant","accrochâmes","accrochai","accrochâtes","accrochas","accrochèrent","accrocha","accrochassions","accrochasse","accrochassiez","accrochasses","accrochassent","accrochât","accrochions","accroche","accrochiez","accroches","accrochent","accroche"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","accroire","","","","","","","","","","","","","","","","","","","","",""
"74","accroîtrons","accroîtrais","accroîtrez","accroîtrais","accroîtraient","accroîtrait","accroissons","accroissez","accrois","accroîtrons","accroîtrai","accroîtrez","accroîtras","accroîtront","accroîtra","accroissions","accroissais","accroissiez","accroissais","accroissaient","accroissait","accroissons","accrois","accroissez","accrois","accroissent","accroît","accroître","accrue","accru","accroissant","accrûmes","accrus","accrûtes","accrus","accrurent","accrut","accrussions","accrusse","accrussiez","accrusses","accrussent","accrûsse","accroissions","accroisse","accroissiez","accroisses","accroissent","accroisse"
"75","accroupirions","accroupirais","accroupiriez","accroupirais","accroupiraient","accroupirait","accroupissons-nous","accroupissez-vous","accroupis-toi","accroupirons","accroupirai","accroupirez","accroupiras","accroupiront","accroupira","accroupissions","accroupissais","accroupissiez","accroupissais","accroupissaient","accroupissait","accroupissons","accroupis","accroupissez","accroupis","accroupissent","accroupit","s'accroupir","accroupie","accroupi","s'accroupissant","accroupîmes","accroupis","accroupîtes","accroupis","accroupirent","accroupit","accroupissions","accroupisse","accroupissiez","accroupisses","accroupissent","accroupît","accroupissions","accroupisse","accroupissiez","accroupisses","accroupissent","accroupisse"
"76","accueillerions","accueillerais","accueilleriez","accueillerais","accueilleraient","accueillerait","accueillons","accueillez","accueille","accueillerons","accueillerai","accueillerez","accueilleras","accueilleront","accueillera","accueillions","accueillais","accueilliez","accueillais","accueillaient","accueillait","accueillons","accueille","accueillez","accueilles","accueillent","accueille","accueillir","accueillie","accueilli","accueillant","accueillîmes","accueillis","accueillîtes","accueillis","accueillirent","accueillit","accueillissions","accueillisse","accueillissiez","accueillisses","accueillissent","accueillît","accueillions","accueille","accueilliez","accueilles","accueillent","accueille"
"77","acculerions","acculerais","acculeriez","acculerais","acculeraient","acculerait","acculons","acculez","accule","acculerons","acculerai","acculerez","acculeras","acculeront","acculera","acculions","acculais","acculiez","acculais","acculaient","acculait","acculons","accule","acculez","accules","acculent","accule","acculer","acculée","acculé","acculant","acculâmes","acculai","acculâtes","acculas","acculèrent","accula","acculassions","acculasse","acculassiez","acculasses","acculassent","acculât","acculions","accule","acculiez","accules","acculent","accule"
"78","acculturerions","acculturerais","accultureriez","acculturerais","accultureraient","acculturerait","acculturons","acculturez","acculture","acculturerons","acculturerai","acculturerez","accultureras","accultureront","acculturera","acculturions","acculturais","acculturiez","acculturais","acculturaient","acculturait","acculturons","acculture","acculturez","accultures","acculturent","acculture","acculturer","acculturée","acculturé","acculturant","acculturâmes","acculturai","acculturâtes","acculturas","acculturèrent","accultura","acculturassions","acculturasse","acculturassiez","acculturasses","acculturassent","acculturât","acculturions","acculture","acculturiez","accultures","acculturent","acculture"
"79","accumulerions","accumulerais","accumuleriez","accumulerais","accumuleraient","accumulerait","accumulons","accumulez","accumule","accumulerons","accumulerai","accumulerez","accumuleras","accumuleront","accumulera","accumulions","accumulais","accumuliez","accumulais","accumulaient","accumulait","accumulons","accumule","accumulez","accumules","accumulent","accumule","accumuler","accumulée","accumulé","accumulant","accumulâmes","accumulai","accumulâtes","accumulas","accumulèrent","accumula","accumulassions","accumulasse","accumulassiez","accumulasses","accumulassent","accumulât","accumulions","accumule","accumuliez","accumules","accumulent","accumule"
"80","accuserions","accuserais","accuseriez","accuserais","accuseraient","accuserait","accusons","accusez","accuse","accuserons","accuserai","accuserez","accuseras","accuseront","accusera","accusions","accusais","accusiez","accusais","accusaient","accusait","accusons","accuse","accusez","accuses","accusent","accuse","accuser","accusée","accusé","accusant","accusâmes","accusai","accusâtes","accusas","accusèrent","accusa","accusassions","accusasse","accusassiez","accusasses","accusassent","accusât","accusions","accuse","accusiez","accuses","accusent","accuse"
"81","acenserions","acenserais","acenseriez","acenserais","acenseraient","acenserait","acensons","acensez","acense","acenserons","acenserai","acenserez","acenseras","acenseront","acensera","acensions","acensais","acensiez","acensais","acensaient","acensait","acensons","acense","acensez","acenses","acensent","acense","acenser","acensée","acensé","acensant","acensâmes","acensai","acensâtes","acensas","acensèrent","acensa","acensassions","acensasse","acensassiez","acensasses","acensassent","acensât","acensions","acense","acensiez","acenses","acensent","acense"
"82","acérerions","acérerais","acéreriez","acérerais","acéreraient","acérerait","acérons","acérez","acère","acérerons","acérerai","acérerez","acéreras","acéreront","acérera","acérions","acérais","acériez","acérais","acéraient","acérait","acérons","acère","acérez","acères","acèrent","acère","acérer","acérée","acéré","acérant","acérâmes","acérai","acérâtes","acéras","acérèrent","acéra","acérassions","acérasse","acérassiez","acérasses","acérassent","acérât","acérions","acère","acériez","acères","acèrent","acère"
"83","acétifierions","acétifierais","acétifieriez","acétifierais","acétifieraient","acétifierait","acétifions","acétifiez","acétifie","acétifierons","acétifierai","acétifierez","acétifieras","acétifieront","acétifiera","acétifiions","acétifiais","acétifiiez","acétifiais","acétifiaient","acétifiait","acétifions","acétifie","acétifiez","acétifies","acétifient","acétifie","acétifier","acétifiée","acétifié","acétifiant","acétifiâmes","acétifiai","acétifiâtes","acétifias","acétifièrent","acétifia","acétifiassions","acétifiasse","acétifiassiez","acétifiasses","acétifiassent","acétifiât","acétifiions","acétifie","acétifiiez","acétifies","acétifient","acétifie"
"84","acétylerions","acétylerais","acétyleriez","acétylerais","acétyleraient","acétylerait","acétylons","acétylez","acétyle","acétylerons","acétylerai","acétylerez","acétyleras","acétyleront","acétylera","acétylions","acétylais","acétyliez","acétylais","acétylaient","acétylait","acétylons","acétyle","acétylez","acétyles","acétylent","acétyle","acétyler","acétylée","acétylé","acétylant","acétylâmes","acétylai","acétylâtes","acétylas","acétylèrent","acétyla","acétylassions","acétylasse","acétylassiez","acétylasses","acétylassent","acétylât","acétylions","acétyle","acétyliez","acétyles","acétylent","acétyle"
"85","achalanderions","achalanderais","achalanderiez","achalanderais","achalanderaient","achalanderait","achalandons","achalandez","achalande","achalanderons","achalanderai","achalanderez","achalanderas","achalanderont","achalandera","achalandions","achalandais","achalandiez","achalandais","achalandaient","achalandait","achalandons","achalande","achalandez","achalandes","achalandent","achalande","achalander","achalandée","achalandé","achalandant","achalandâmes","achalandai","achalandâtes","achalandas","achalandèrent","achalanda","achalandassions","achalandasse","achalandassiez","achalandasses","achalandassent","achalandât","achalandions","achalande","achalandiez","achalandes","achalandent","achalande"
"86","achalerions","achalerais","achaleriez","achalerais","achaleraient","achalerait","achalons","achalez","achale","achalerons","achalerai","achalerez","achaleras","achaleront","achalera","achalions","achalais","achaliez","achalais","achalaient","achalait","achalons","achale","achalez","achales","achalent","achale","achaler","achalée","achalé","achalant","achalâmes","achalai","achalâtes","achalas","achalèrent","achala","achalassions","achalasse","achalassiez","achalasses","achalassent","achalât","achalions","achale","achaliez","achales","achalent","achale"
"87","acharnerions","acharnerais","acharneriez","acharnerais","acharneraient","acharnerait","acharnons","acharnez","acharne","acharnerons","acharnerai","acharnerez","acharneras","acharneront","acharnera","acharnions","acharnais","acharniez","acharnais","acharnaient","acharnait","acharnons","acharne","acharnez","acharnes","acharnent","acharne","acharner","acharnée","acharné","acharnant","acharnâmes","acharnai","acharnâtes","acharnas","acharnèrent","acharna","acharnassions","acharnasse","acharnassiez","acharnasses","acharnassent","acharnât","acharnions","acharne","acharniez","acharnes","acharnent","acharne"
"88","acheminerions","acheminerais","achemineriez","acheminerais","achemineraient","acheminerait","acheminons","acheminez","achemine","acheminerons","acheminerai","acheminerez","achemineras","achemineront","acheminera","acheminions","acheminais","acheminiez","acheminais","acheminaient","acheminait","acheminons","achemine","acheminez","achemines","acheminent","achemine","acheminer","acheminée","acheminé","acheminant","acheminâmes","acheminai","acheminâtes","acheminas","acheminèrent","achemina","acheminassions","acheminasse","acheminassiez","acheminasses","acheminassent","acheminât","acheminions","achemine","acheminiez","achemines","acheminent","achemine"
"89","achèterions","achèterais","achèteriez","achèterais","achèteraient","achèterait","achetons","achetez","achète","achèterons","achèterai","achèterez","achèteras","achèteront","achètera","achetions","achetais","achetiez","achetais","achetaient","achetait","achetons","achète","achetez","achètes","achètent","achète","acheter","achetée","acheté","achetant","achetâmes","achetai","achetâtes","achetas","achetèrent","acheta","achetassions","achetasse","achetassiez","achetasses","achetassent","achetât","achetions","achète","achetiez","achètes","achètent","achète"
"90","achèverions","achèverais","achèveriez","achèverais","achèveraient","achèverait","achevons","achevez","achève","achèverons","achèverai","achèverez","achèveras","achèveront","achèvera","achevions","achevais","acheviez","achevais","achevaient","achevait","achevons","achève","achevez","achèves","achèvent","achève","achever","achevée","achevé","achevant","achevâmes","achevai","achevâtes","achevas","achevèrent","acheva","achevassions","achevasse","achevassiez","achevasses","achevassent","achevât","achevions","achève","acheviez","achèves","achèvent","achève"
"91","achopperions","achopperais","achopperiez","achopperais","achopperaient","achopperait","achoppons","achoppez","achoppe","achopperons","achopperai","achopperez","achopperas","achopperont","achoppera","achoppions","achoppais","achoppiez","achoppais","achoppaient","achoppait","achoppons","achoppe","achoppez","achoppes","achoppent","achoppe","achopper","achoppée","achoppé","achoppant","achoppâmes","achoppai","achoppâtes","achoppas","achoppèrent","achoppa","achoppassions","achoppasse","achoppassiez","achoppasses","achoppassent","achoppât","achoppions","achoppe","achoppiez","achoppes","achoppent","achoppe"
"92","achromatiserions","achromatiserais","achromatiseriez","achromatiserais","achromatiseraient","achromatiserait","achromatisons","achromatisez","achromatise","achromatiserons","achromatiserai","achromatiserez","achromatiseras","achromatiseront","achromatisera","achromatisions","achromatisais","achromatisiez","achromatisais","achromatisaient","achromatisait","achromatisons","achromatise","achromatisez","achromatises","achromatisent","achromatise","achromatiser","achromatisée","achromatisé","achromatisant","achromatisâmes","achromatisai","achromatisâtes","achromatisas","achromatisèrent","achromatisa","achromatisassions","achromatisasse","achromatisassiez","achromatisasses","achromatisassent","achromatisât","achromatisions","achromatise","achromatisiez","achromatises","achromatisent","achromatise"
"93","acidifierions","acidifierais","acidifieriez","acidifierais","acidifieraient","acidifierait","acidifions","acidifiez","acidifie","acidifierons","acidifierai","acidifierez","acidifieras","acidifieront","acidifiera","acidifiions","acidifiais","acidifiiez","acidifiais","acidifiaient","acidifiait","acidifions","acidifie","acidifiez","acidifies","acidifient","acidifie","acidifier","acidifiée","acidifié","acidifiant","acidifiâmes","acidifiai","acidifiâtes","acidifias","acidifièrent","acidifia","acidifiassions","acidifiasse","acidifiassiez","acidifiasses","acidifiassent","acidifiât","acidifiions","acidifie","acidifiiez","acidifies","acidifient","acidifie"
"94","acidulerions","acidulerais","aciduleriez","acidulerais","aciduleraient","acidulerait","acidulons","acidulez","acidule","acidulerons","acidulerai","acidulerez","aciduleras","aciduleront","acidulera","acidulions","acidulais","aciduliez","acidulais","acidulaient","acidulait","acidulons","acidule","acidulez","acidules","acidulent","acidule","aciduler","acidulée","acidulé","acidulant","acidulâmes","acidulai","acidulâtes","acidulas","acidulèrent","acidula","acidulassions","acidulasse","acidulassiez","acidulasses","acidulassent","acidulât","acidulions","acidule","aciduliez","acidules","acidulent","acidule"
"95","aciérerions","aciérerais","aciéreriez","aciérerais","aciéreraient","aciérerait","aciérons","aciérez","acière","aciérerons","aciérerai","aciérerez","aciéreras","aciéreront","aciérera","aciérions","aciérais","aciériez","aciérais","aciéraient","aciérait","aciérons","acière","aciérez","acières","acièrent","acière","aciérer","aciérée","aciéré","aciérant","aciérâmes","aciérai","aciérâtes","aciéras","aciérèrent","aciéra","aciérassions","aciérasse","aciérassiez","aciérasses","aciérassent","aciérât","aciérions","acière","aciériez","acières","acièrent","acière"
"96","acisèlerions","acisèlerais","acisèleriez","acisèlerais","acisèleraient","acisèlerait","aciselons","aciselez","acisèle","acisèlerons","acisèlerai","acisèlerez","acisèleras","acisèleront","acisèlera","aciselions","aciselais","aciseliez","aciselais","aciselaient","aciselait","aciselons","acisèle","aciselez","acisèles","acisèlent","acisèle","aciseler","aciselée","aciselé","aciselant","aciselâmes","aciselai","aciselâtes","aciselas","aciselèrent","acisela","aciselassions","aciselasse","aciselassiez","aciselasses","aciselassent","aciselât","aciselions","acisèle","aciseliez","acisèles","acisèlent","acisèle"
"97","acoquinerions","acoquinerais","acoquineriez","acoquinerais","acoquineraient","acoquinerait","acoquinons-nous","acoquinez-vous","acoquine-toi","acoquinerons","acoquinerai","acoquinerez","acoquineras","acoquineront","acoquinera","acoquinions","acoquinais","acoquiniez","acoquinais","acoquinaient","acoquinait","acoquinons","acoquine","acoquinez","acoquines","acoquinent","acoquine","s'acoquiner","acoquinée","acoquiné","s'acoquinant","acoquinâmes","acoquinai","acoquinâtes","acoquinas","acoquinèrent","acoquina","acoquinassions","acoquinasse","acoquinassiez","acoquinasses","acoquinassent","acoquinât","acoquinions","acoquine","acoquiniez","acoquines","acoquinent","acoquine"
"98","acquerrions","acquerrais","acquerriez","acquerrais","acquerraient","acquerrait","acquérons","acquérez","acquiers","acquerrons","acquerrai","acquerrez","acquerras","acquerront","acquerra","acquérions","acquérais","acquériez","acquérais","acquéraient","acquérait","acquérons","acquiers","acquérez","acquiers","acquièrent","acquiert","acquérir","acquise","acquis","acquérant","acquîmes","acquis","acquîtes","acquis","acquirent","acquit","acquissions","acquisse","acquissiez","acquisses","acquissent","acquît","acquérions","acquière","acquériez","acquières","acquièrent","acquière"
"99","acquiescerions","acquiescerais","acquiesceriez","acquiescerais","acquiesceraient","acquiescerait","acquiesçons","acquiescez","acquiesce","acquiescerons","acquiescerai","acquiescerez","acquiesceras","acquiesceront","acquiescera","acquiescions","acquiesçais","acquiesciez","acquiesçais","acquiesçaient","acquiesçait","acquiesçons","acquiesce","acquiescez","acquiesces","acquiescent","acquiesce","acquiescer","acquiescée","acquiescé","acquiesçant","acquiesçâmes","acquiesçai","acquiesçâtes","acquiesças","acquiescèrent","acquiesça","acquiesçassions","acquiesçasse","acquiesçassiez","acquiesçasses","acquiesçassent","acquiesçât","acquiescions","acquiesce","acquiesciez","acquiesces","acquiescent","acquiesce"
"100","acquitterions","acquitterais","acquitteriez","acquitterais","acquitteraient","acquitterait","acquittons","acquittez","acquitte","acquitterons","acquitterai","acquitterez","acquitteras","acquitteront","acquittera","acquittions","acquittais","acquittiez","acquittais","acquittaient","acquittait","acquittons","acquitte","acquittez","acquittes","acquittent","acquitte","acquitter","acquittée","acquitté","acquittant","acquittâmes","acquittai","acquittâtes","acquittas","acquittèrent","acquitta","acquittassions","acquittasse","acquittassiez","acquittasses","acquittassent","acquittât","acquittions","acquitte","acquittiez","acquittes","acquittent","acquitte"
